"DIVISION","REGIONC","UATYP10","CLIMATE_REGION_PUB","TYPEHUQ","YEARMADERANGE","TOTROOMS","NHSLDMEM","KOWNRENT","ELPAY","TOTSQFT_EN","KWH","CUFEETNG","GALLONLP","BTUFO","elec_per_sqft","ntrlgas_per_sqft","propane_per_sqft","fueloil_per_sqft"
"West South Central","West","Rural area","Hot-Dry/Mixed-Dry","2","1960s",7,4,3,"1",1644,10509.058,0,343.786,0,6.39237104622871,0,0.209115571776156,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1980s",5,4,1,"1",4876,7774.812,1041.651,0,0,1.59450615258409,0.213628178835111,0,0
"Mountain South","South","Urban cluster","Mixed-Humid","2","1990s",9,2,1,"1",1852,25550.772,0,295.944,0,13.796313174946,0,0.159796976241901,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","1970s",9,6,1,"1",2934,11728.604,921.293,0,0,3.99747920927062,0.314005794137696,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1990s",4,2,1,"1",988,7226.333,123.445,0,0,7.31410222672065,0.124944331983806,0,0
"Middle Atlantic","Midwest","Urban cluster","Mixed-Humid","5","1980s",1,1,2,"1",723,1333.5,168.1,0,0,1.84439834024896,0.232503457814661,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","* to 1950",3,2,2,"2",667,5807,345.795,0,0,8.70614692653673,0.518433283358321,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","2000s",11,3,1,"1",3350,14526.519,604.848,0,0,4.33627432835821,0.180551641791045,0,0
"West South Central","West","Urban cluster","Cold/Very Cold","5","1980s",4,3,2,"1",766,4804.993,0,0,0,6.27283681462141,0,0,0
"West South Central","West","Urban area","Marine","2","* to 1950",6,3,1,"1",2390,5978.901,174.09,0,0,2.50163221757322,0.0728410041841004,0,0
"Pacific","South","Urban area","Hot-Humid","4","1970s",3,1,2,"1",1232,9143,0,0,0,7.42126623376623,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",9,4,1,"1",2618,16555.429,1373.382,0,0,6.32369327731092,0.52459205500382,0,0
"South Atlantic","West","Urban cluster","Cold/Very Cold","1","1980s",5,6,3,"1",737,3436.889,1164.155,0,0,4.66335006784261,1.57958616010855,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","4","1980s",3,1,2,"1",691,5334,54.315,0,0,7.7192474674385,0.0786034732272069,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1960s",5,4,1,"1",1934,9909.324,738.669,0,0,5.12374560496381,0.381938469493278,0,0
"Pacific","South","Urban area","Hot-Humid","2","1970s",5,2,1,"1",1547,14815.155,263.349,0,0,9.57670006464124,0.170232062055591,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1980s",4,1,2,"2",858,9854,0,0,0,11.4848484848485,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","2000s",14,2,1,"1",7567,34761.161,0,1523.851,0,4.5937836659178,0,0.201381128584644,0
"Mountain South","South","Urban area","Mixed-Humid","2","2000s",5,2,1,"1",950,16863.463,0,0,0,17.7510136842105,0,0,0
"Mountain South","South","Rural area","Hot-Humid","1","1980s",7,4,1,"1",1152,21026.192,0,0,0,18.2519027777778,0,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","3","1970s",5,1,1,"1",1314,3124.482,385.749,0,0,2.3778401826484,0.293568493150685,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","3","1990s",8,2,1,"1",2574,19359.243,0,0,0,7.52107342657343,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",8,4,1,"1",4093,12939,264.265,0,0,3.16125091619839,0.0645651111654044,0,0
"Middle Atlantic","Midwest","Urban cluster","Cold/Very Cold","2","* to 1950",6,4,1,"1",2900,7877.517,915.583,0,0,2.71638517241379,0.315718275862069,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","4","* to 1950",4,1,2,"2",681,13250,325.952,0,0,19.4566813509545,0.478637298091043,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","1950s",8,3,1,"1",2842,9452.807,0,0,63960.869,3.32611083743842,0,0,22.5055837438424
"East North Central","Northeast","Urban area","Cold/Very Cold","2","1990s",8,3,1,"1",3712,16011.628,0,31.84,140500.495,4.31347737068966,0,0.00857758620689655,37.8503488685345
"New England","South","Rural area","Mixed-Humid","2","2010 to 2015",7,3,1,"1",1006,13986.554,466.778,0,0,13.9031351888668,0.463994035785288,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1950s",6,4,1,"1",2328,7495.777,0,0,86052.885,3.21983548109966,0,0,36.9642976804124
"West South Central","West","Rural area","Marine","3","2010 to 2015",6,2,1,"1",2765,12074.429,0,0,0,4.36688209764919,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",5,1,1,"1",1577,1692.373,861.118,0,0,1.07315979708307,0.546048192771084,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","* to 1950",19,1,1,"1",2862,20464.538,0,0,0,7.15043256464011,0,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","* to 1950",4,2,1,"1",2008,2071.013,0,28.679,58756.582,1.03138097609562,0,0.0142823705179283,29.2612460159363
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1990s",5,1,1,"1",914,5840.636,134.903,0,0,6.39019256017506,0.147596280087527,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","1980s",9,2,1,"1",3600,4989.096,822.918,0,0,1.38586,0.228588333333333,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","1960s",3,1,2,"2",481,3152,234.734,0,0,6.55301455301455,0.488012474012474,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1950s",5,3,1,"1",1680,19649.065,0,0,0,11.6958720238095,0,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","5","2010 to 2015",4,2,2,"1",1432,2928.857,289.963,0,0,2.04529120111732,0.20248812849162,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","5","1970s",4,1,2,"1",797,3972.824,286.168,0,0,4.98472271016311,0.359056461731493,0,0
"Pacific","South","Urban area","Hot-Humid","2","1970s",6,1,1,"1",1872,16484,126.838,0,0,8.80555555555556,0.0677553418803419,0,0
"Pacific","South","Urban area","Mixed-Humid","2","1970s",9,2,1,"1",1030,5789.13,573.77,0,0,5.6205145631068,0.557058252427184,0,0
"West South Central","West","Urban area","Marine","2","* to 1950",4,2,2,"1",1066,4486.968,220.017,0,0,4.20916322701689,0.206394934333959,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","1970s",6,2,1,"1",889,6235.992,579.025,0,0,7.01461417322835,0.651321709786277,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","1960s",6,5,2,"1",2902,18825.666,0,0,71954.147,6.48713507925569,0,0,24.7946750516885
"Middle Atlantic","Midwest","Urban cluster","Mixed-Humid","2","* to 1950",5,5,1,"1",1704,15124.034,580.15,0,0,8.87560680751174,0.340463615023474,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","1990s",5,1,1,"1",2162,8127.207,0,431.556,0,3.75911517113784,0,0.199609620721554,0
"Mountain South","South","Urban area","Mixed-Humid","2","1980s",6,1,1,"1",3410,12336.47,444.257,0,0,3.61773313782991,0.13028064516129,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","2","1950s",5,2,1,"1",2064,17279.455,778.042,0,0,8.37182897286822,0.376958333333333,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1960s",6,2,1,"1",1584,8417.803,0,1090.463,0,5.31426957070707,0,0.688423611111111,0
"Mountain North","Midwest","Urban cluster","Mixed-Humid","2","1980s",8,5,2,"1",4504,15788.587,1039.47,0,0,3.50545892539964,0.230788188277087,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","5","* to 1950",4,1,2,"2",1037,6031,37.576,0,0,5.81581485053038,0.0362352941176471,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1950s",8,3,1,"1",1242,9935.169,529.356,0,0,7.9993309178744,0.426212560386473,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","3","1970s",5,3,2,"2",1152,6034,613.675,0,0,5.23784722222222,0.532703993055555,0,0
"New England","South","Urban cluster","Mixed-Humid","4","2000s",4,1,2,"1",964,7367.839,0,0,0,7.64298651452282,0,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","3","2000s",4,3,2,"1",2308,6042.15,471.325,0,0,2.61791594454073,0.204213604852686,0,0
"New England","South","Urban area","Mixed-Humid","5","2000s",4,2,2,"1",1084,4353.178,224.009,0,0,4.01584686346863,0.20665036900369,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1950s",7,2,1,"1",1850,7911.912,1343.549,0,0,4.27670918918919,0.726242702702703,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",6,4,2,"1",947,9398.483,208.184,0,0,9.92448046462513,0.219835269271383,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1970s",6,2,1,"1",1310,11681.977,375.01,0,0,8.91753969465649,0.286267175572519,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",5,2,1,"1",1435,6448.9,87.63,0,0,4.49400696864111,0.0610662020905923,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","1990s",10,1,1,"1",2415,8028.858,864.815,0,0,3.32457888198758,0.358101449275362,0,0
"West South Central","West","Urban area","Marine","1","1970s",6,3,1,"1",1536,9128,532.238,0,0,5.94270833333333,0.346509114583333,0,0
"Pacific","South","Rural area","Hot-Humid","2","1990s",6,2,1,"1",1915,18675.421,0,0,0,9.75217806788512,0,0,0
"New England","South","Rural area","Hot-Humid","2","1990s",6,2,1,"1",925,14549.667,0,0,0,15.7293697297297,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1950s",7,3,1,"1",2100,20506.244,0,0,0,9.76487809523809,0,0,0
"Mountain North","Midwest","Rural area","Mixed-Humid","1","1970s",5,3,2,"1",1008,14167,0,298.158,0,14.0545634920635,0,0.295791666666667,0
"East South Central","Northeast","Urban area","Mixed-Humid","4","* to 1950",6,2,1,"1",1109,8332.924,503.562,0,0,7.51390802524797,0.454068530207394,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1990s",8,2,1,"1",1225,16196.129,0,61.706,0,13.2213297959184,0,0.0503722448979592,0
"West South Central","West","Rural area","Marine","2","1990s",5,1,1,"1",1538,8639.64,0,149.602,0,5.61745123537061,0,0.0972704811443433,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",5,3,1,"1",1296,3976.354,199.19,0,0,3.06817438271605,0.153695987654321,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","* to 1950",4,2,2,"1",598,2772.742,155.168,0,0,4.63669230769231,0.259478260869565,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",5,3,2,"1",558,4125.941,143.125,0,0,7.39415949820788,0.256496415770609,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","1","1970s",6,2,1,"1",1298,7246,259.14,0,0,5.5824345146379,0.199645608628659,0,0
"New England","South","Urban area","Mixed-Humid","2","1970s",8,2,1,"1",3003,22183.188,0,193.204,0,7.38700899100899,0,0.0643369963369963,0
"East North Central","Northeast","Urban area","Cold/Very Cold","5","1970s",3,1,2,"1",362,1281.809,186.845,0,0,3.54090883977901,0.516146408839779,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","3","1970s",4,2,2,"1",750,6891.852,590.859,0,0,9.189136,0.787812,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","* to 1950",3,2,2,"1",398,4376.145,335.868,0,0,10.9953391959799,0.843889447236181,0,0
"West South Central","West","Urban area","Marine","2","1980s",6,2,1,"1",1933,15140.394,0,0,0,7.83258872219348,0,0,0
"West South Central","West","Rural area","Cold/Very Cold","2","2000s",6,3,1,"1",1430,12820.39,1072.619,0,0,8.96530769230769,0.750083216783217,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","* to 1950",4,1,1,"1",1055,2001.651,77.594,0,21748.624,1.89729952606635,0.0735488151658768,0,20.614809478673
"New England","South","Urban area","Mixed-Humid","2","* to 1950",5,2,1,"1",1632,11480.903,666.922,0,0,7.03486703431373,0.40865318627451,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","2000s",4,1,2,"1",442,8485,0,0,0,19.1968325791855,0,0,0
"Mountain South","South","Rural area","Mixed-Humid","1","1990s",7,2,1,"1",1152,10703.952,0,0,14019.318,9.291625,0,0,12.169546875
"Mountain South","South","Urban area","Mixed-Humid","2","2000s",9,2,1,"1",4123,16442.513,1059.621,0,0,3.98799733203978,0.257002425418385,0,0
"Mountain South","South","Rural area","Hot-Humid","2","1990s",8,4,1,"1",2523,14640.159,0,0,0,5.80267895362663,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1980s",7,2,1,"1",1615,13115.35,0,0,0,8.12095975232198,0,0,0
"Mountain South","South","Urban area","Hot-Humid","1","1970s",4,2,1,"1",576,4796.519,0,15.783,0,8.32728993055556,0,0.0274010416666667,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","2","1980s",5,1,2,"1",2400,4883.012,462.023,0,0,2.03458833333333,0.192509583333333,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","1970s",7,3,2,"1",2693,5297.808,888.351,0,0,1.96725139249907,0.329874118083921,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1970s",8,1,1,"1",3350,5287.853,1018.681,0,0,1.57846358208955,0.304083880597015,0,0
"Mountain South","South","Urban area","Hot-Humid","2","2000s",6,3,1,"1",2400,15580.754,0,0,0,6.49198083333333,0,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","* to 1950",9,2,1,"1",2948,19745.27,0,40.551,0,6.69785278154681,0,0.0137554274084125,0
"West South Central","West","Urban area","Cold/Very Cold","5","1970s",4,2,2,"1",830,6214.029,0,0,0,7.48678192771084,0,0,0
"Pacific","South","Urban cluster","Hot-Humid","2","1980s",7,2,1,"1",3768,14231,456.867,0,0,3.77680467091295,0.121249203821656,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1950s",4,1,2,"1",825,2742.97,0,0,0,3.32481212121212,0,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1990s",6,2,1,"1",3554,8693.729,0,288.471,0,2.44618148564997,0,0.0811679797411368,0
"South Atlantic","West","Rural area","Cold/Very Cold","3","1980s",5,1,3,"1",1437,10448.194,155.207,0,0,7.27083785664579,0.108007654836465,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","1980s",7,2,1,"1",3302,10177.594,494.633,0,0,3.08225136281042,0.149798001211387,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","1990s",6,5,1,"1",1280,25799.003,0,0,0,20.15547109375,0,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","2000s",6,3,1,"1",2750,14064.533,663.113,0,0,5.11437563636364,0.241132,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",6,3,1,"1",2587,8108.605,438.972,0,0,3.1343660610746,0.169683803633552,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1980s",7,1,2,"1",1574,7787.419,317.865,0,0,4.94753430749682,0.201947268106734,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","2","1970s",7,2,1,"1",2553,9616.954,923.874,0,0,3.76692283587936,0.361877790834313,0,0
"New England","South","Urban cluster","Hot-Humid","2","1990s",4,2,1,"1",960,28109.809,0,0,0,29.2810510416667,0,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","* to 1950",7,3,1,"1",2876,34183.059,382.453,0,0,11.8856255215577,0.132980876216968,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1980s",8,2,1,"1",4100,3606.644,0,0,68248.96,0.879669268292683,0,0,16.646087804878
"East South Central","Northeast","Urban area","Mixed-Humid","5","* to 1950",4,2,2,"1",1000,4171,27.214,0,41054.299,4.171,0.027214,0,41.054299
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1960s",3,2,2,"1",425,4163.4,196.408,0,0,9.79623529411765,0.462136470588235,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","4","1950s",5,5,1,"1",1428,5052.194,225.966,0,0,3.53795098039216,0.158239495798319,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1960s",7,2,1,"1",3863,13576.187,0,141.604,0,3.51441548019674,0,0.0366564845974631,0
"Pacific","South","Urban area","Hot-Humid","2","1960s",5,2,1,"1",1702,11746,272.648,0,0,6.90129259694477,0.160192714453584,0,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","2","* to 1950",9,5,1,"1",2947,9928.906,945.173,0,0,3.36915710892433,0.320723786901934,0,0
"Pacific","South","Urban area","Mixed-Humid","5","2000s",6,2,2,"1",1092,16671.51,0,0,0,15.2669505494505,0,0,0
"West South Central","West","Urban area","Marine","2","1970s",11,2,1,"1",3468,26299.385,0,29.04,0,7.58344434832757,0,0.00837370242214533,0
"Pacific","South","Urban area","Hot-Humid","5","1970s",4,1,2,"1",1004,6670.469,51.862,0,0,6.64389342629482,0.0516553784860558,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","* to 1950",13,2,3,"1",4530,15795,0,278.826,0,3.48675496688742,0,0.0615509933774834,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","2","* to 1950",7,2,1,"1",1620,8454.53,708.042,0,0,5.21884567901235,0.437062962962963,0,0
"West South Central","West","Urban area","Marine","2","1960s",6,10,1,"9",2393,9185.93,304.473,0,0,3.838666945257,0.127234851650648,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","* to 1950",5,3,2,"1",2058,11532.441,0,531.639,0,5.60371282798834,0,0.258327988338192,0
"Mountain South","South","Urban area","Mixed-Humid","2","* to 1950",7,3,1,"1",2772,11016.806,660.993,0,0,3.97431673881674,0.238453463203463,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1970s",9,2,1,"1",3448,5843.543,1198.638,0,0,1.69476305104408,0.34763283062645,0,0
"West South Central","West","Urban area","Cold/Very Cold","2","1950s",5,2,1,"1",1924,13138.15,268.795,0,0,6.82856029106029,0.139706340956341,0,0
"West South Central","West","Urban area","Marine","2","1960s",6,2,1,"1",1110,12901.875,0,0,0,11.6233108108108,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1960s",6,2,1,"1",1000,7803.697,194.556,0,0,7.803697,0.194556,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","1","1970s",4,3,2,"1",754,17281.969,0,0,18898.083,22.9203832891247,0,0,25.0637705570292
"Mountain South","South","Urban area","Mixed-Humid","1","1980s",5,5,1,"1",560,3349.928,115.721,0,0,5.98201428571429,0.206644642857143,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1970s",4,1,1,"1",765,6000,0,48.165,0,7.84313725490196,0,0.0629607843137255,0
"Pacific","South","Rural area","Hot-Humid","2","2000s",3,2,1,"1",1500,23231.452,0,0,0,15.4876346666667,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1980s",8,2,1,"1",2470,9177.566,0,0,0,3.71561376518219,0,0,0
"South Atlantic","West","Urban cluster","Cold/Very Cold","5","1980s",2,1,2,"2",600,4056,104.155,0,0,6.76,0.173591666666667,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","1960s",4,1,2,"1",656,4915.703,712.762,0,0,7.49344969512195,1.08652743902439,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",3,1,2,"1",631,1141.558,49.125,0,0,1.80912519809826,0.0778526148969889,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","* to 1950",5,2,1,"1",1438,5961.387,538.528,0,0,4.14560987482615,0.374497913769124,0,0
"New England","South","Rural area","Mixed-Humid","3","1960s",6,1,1,"1",1318,11833.597,0,0,0,8.97844992412747,0,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1950s",8,4,1,"1",2490,10578.194,573.372,0,51377.449,4.24827068273092,0.230269879518072,0,20.6335136546185
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","2010 to 2015",3,2,1,"1",1440,28397.645,0,289.346,0,19.7205868055556,0,0.200934722222222,0
"Mountain South","South","Urban area","Mixed-Humid","5","1960s",2,2,2,"2",945,2924,275.575,0,0,3.09417989417989,0.291613756613757,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","3","1960s",6,1,1,"1",2051,10537.67,0,0,0,5.13782057532911,0,0,0
"West South Central","West","Urban area","Marine","2","1970s",4,5,1,"1",951,7821.062,330.019,0,0,8.22403995793901,0.347023133543638,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1990s",7,4,1,"1",2488,16342.793,0,855.396,0,6.56864670418006,0,0.343808681672026,0
"Pacific","South","Urban area","Hot-Humid","4","1980s",4,4,2,"1",756,13221.881,200.494,0,0,17.4892605820106,0.265203703703704,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","1","1980s",5,4,2,"1",1848,22639.185,0,0,0,12.2506412337662,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1980s",6,2,1,"1",2430,4689.058,513.519,0,0,1.92965349794239,0.211324691358025,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1990s",8,2,1,"1",2726,15089.545,340.657,0,0,5.53541636096845,0.124965884079237,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","* to 1950",6,5,1,"1",3375,14374.698,1463.98,0,0,4.25916977777778,0.433771851851852,0,0
"West North Central","West","Rural area","Cold/Very Cold","2","1990s",7,8,1,"1",1512,4976,537.796,296.393,0,3.29100529100529,0.355685185185185,0.196027116402116,0
"West South Central","West","Urban area","Marine","2","2000s",9,5,1,"1",1900,6609.067,21.766,0,0,3.47845631578947,0.0114557894736842,0,0
"Pacific","South","Urban cluster","Hot-Humid","5","1990s",1,4,2,"1",787,14474.021,0,0,0,18.3913862770013,0,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","* to 1950",1,2,2,"1",313,1468.477,283.534,0,0,4.69161980830671,0.905859424920128,0,0
"Middle Atlantic","Midwest","Rural area","Mixed-Humid","2","1980s",6,1,1,"1",812,12068.451,0,0,0,14.8626243842365,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1980s",6,4,2,"1",2896,27832.699,0,0,0,9.61073860497238,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1950s",5,4,1,"1",2184,3588.971,367.109,0,0,1.64330173992674,0.168090201465201,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","4","* to 1950",4,3,2,"2",768,5938,314.853,0,0,7.73177083333333,0.40996484375,0,0
"West South Central","West","Urban cluster","Marine","2","1990s",5,2,1,"1",1520,2238,266.676,0,0,1.47236842105263,0.175444736842105,0,0
"Pacific","South","Urban cluster","Hot-Humid","2","1970s",6,5,1,"1",1620,24336.433,383.25,0,0,15.0224895061728,0.236574074074074,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","* to 1950",5,3,2,"1",1342,9948.22,0,0,0,7.41298062593145,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",8,6,1,"1",2068,5932.388,392.637,0,0,2.86865957446809,0.189863152804642,0,0
"West South Central","West","Rural area","Marine","2","* to 1950",8,4,1,"1",3560,13638.567,0,0,0,3.83105814606742,0,0,0
"Mountain South","South","Urban cluster","Cold/Very Cold","2","1950s",7,3,1,"1",1909,9764.586,910.31,0,0,5.11502671555788,0.476851754845469,0,0
"Pacific","South","Rural area","Hot-Humid","1","* to 1950",5,4,1,"1",924,21051.062,0,46.991,0,22.7825346320346,0,0.0508560606060606,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","4","1990s",4,4,2,"1",807,5644.433,199.283,0,0,6.99434076827757,0.246942998760843,0,0
"Pacific","South","Rural area","Hot-Humid","2","* to 1950",6,3,1,"1",1720,28306.848,0,0,0,16.4574697674419,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",3,1,1,"1",631,5024.065,0,0,0,7.96206814580032,0,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1990s",7,1,1,"1",4530,20037.681,37.657,0,0,4.42332913907285,0.00831280353200883,0,0
"West South Central","West","Urban area","Hot-Humid","5","1970s",4,2,2,"2",1444,13458,0,0,0,9.31994459833795,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1980s",5,4,1,"1",1456,10063.14,224.617,0,0,6.91149725274725,0.154269917582418,0,0
"Pacific","South","Urban area","Hot-Humid","2","2000s",5,4,1,"1",894,12746.915,0,0,0,14.2582941834452,0,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","1950s",7,2,1,"1",3248,11874.35,1083.336,0,0,3.65589593596059,0.333539408866995,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",5,2,1,"1",2350,9373.681,696.566,0,0,3.98880042553191,0.296411063829787,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1960s",17,3,1,"1",6341,21959,0,379.975,0,3.46301845134837,0,0.0599235136413815,0
"Pacific","South","Urban area","Hot-Humid","2","2000s",7,4,1,"1",3672,15695.568,810.618,0,0,4.27439215686274,0.220756535947712,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","1980s",4,2,2,"1",1458,5155.778,10.323,0,0,3.53619890260631,0.00708024691358025,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",5,3,2,"1",1533,4049.563,191.5,0,0,2.64159360730594,0.124918460534899,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","* to 1950",2,1,2,"1",487,512.666,203.359,0,14225.192,1.0527022587269,0.417574948665298,0,29.209839835729
"Pacific","South","Urban area","Hot-Humid","5","1960s",3,1,2,"2",890,6933,0,0,0,7.78988764044944,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","1970s",1,1,2,"1",450,6771.868,0,0,0,15.0485955555556,0,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","1970s",5,1,1,"1",2854,14945.299,0,0,0,5.23661492641906,0,0,0
"New England","South","Rural area","Mixed-Humid","2","1950s",6,4,1,"1",2460,19186.999,0,0,0,7.7995930894309,0,0,0
"Pacific","South","Urban area","Mixed-Humid","5","1970s",4,4,2,"1",992,15183.258,0,0,0,15.3057036290323,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","2010 to 2015",10,3,1,"1",5647,6734,1221.898,0,0,1.19249158845405,0.216380024791925,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","1970s",1,1,2,"1",664,4288.419,466.101,0,0,6.45846234939759,0.701959337349398,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1980s",7,1,1,"1",3232,6898.969,0,0,0,2.13458199257426,0,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1970s",7,5,1,"1",3510,11821.983,497.071,0,0,3.36808632478632,0.14161566951567,0,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","2","* to 1950",5,2,1,"1",1272,9278.053,725.961,0,0,7.29406682389937,0.570724056603774,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",6,4,2,"1",1400,5599.556,269.769,0,0,3.99968285714286,0.192692142857143,0,0
